,roc_auc_stan,roc_auc_MLS,stan_time,MLS_time
ef08e1a4-206d-4262-b649-1efa62d73134,0.6561969439728352,0.5,2.685826063156128,5.725872993469238
e3358ff6-be68-42fa-ac87-b432c663c869,0.6153846153846154,0.5,2.8531079292297363,10.710218906402588
19494f9c-0cba-4d60-8d6d-5a3c596e0260,0.5,0.5,2.620042085647583,7.234519004821777
7f005c27-754f-4b21-a9fe-93964a3d61c5,0.5,0.5,2.771245002746582,9.840040922164917
1afc7305-2918-422d-ab95-6ce1d5e4c547,0.5713012477718361,0.5,2.7014410495758057,5.680804252624512
a4c6d920-a859-4f7a-b292-5b3fe3a0ef43,0.5599999999999999,0.5,2.680189847946167,7.844864845275879
3b5f3c8a-73bb-4f47-9347-d45449e0fa72,0.6915584415584416,0.5,3.037275791168213,7.361376762390137
7d334a4b-9035-457a-8f93-7771acc32226,0.5,0.5,2.893326759338379,6.4102301597595215
8f6dac48-bb68-4580-acd1-c3162523fdcc,0.5,0.5,2.729362964630127,4.39362096786499
f7c388f6-2a87-4ba5-b3b2-56f0ddde83e0,0.7714285714285715,0.5,2.365262985229492,6.150285959243774
ceaa3414-40ac-435c-9f3d-55ff43731411,,,,
abb84d41-177a-4f57-a0e4-e5fb7b718eff,,,,
2d454f8b-7aae-4235-8a59-2d24a76824e0,,,,
8994232a-a337-4421-97ec-fcb52af8bc73,,,,
047d6bba-32cc-481e-a739-6a3354b7bb64,,,,
e81e17d0-4cf5-415c-ab05-f620f56652c4,,,,
3edc77d4-fab8-4027-94f8-20159d7f8fb2,,,,
fe23480a-0de4-421f-b089-194edf9dafb4,,,,
9966ad9f-0499-4820-bcf6-9a505151081e,,,,
0bb0dbb9-2b21-4ab7-bbc9-143ff545ae4a,,,,
b2b5a8bc-8435-4c72-8aaa-610498be8982,,,,
634451ab-727b-4d4c-95a3-97cb84bc6c6d,,,,
e2626c27-0c38-4808-b121-a62c73e4b09f,,,,
c02bf417-011e-415a-bbb6-5849ef76740e,,,,
3b36a39a-4197-47d7-aee5-9bbabf444051,,,,
aad7e150-ad6a-47f1-8ee2-698c24f592a3,,,,
c14e005a-4ea8-4fd6-a594-36a548e731b9,,,,
d465f29e-2a39-4a46-b83e-9446f0b5084c,,,,
445afec7-20de-4f41-84e6-21b2d69c6da2,,,,
ebb77c35-5fab-4df1-9d06-6b3d7524f583,,,,
22d0e837-f676-4099-8c9f-4dfce13aafc7,,,,
c8d0ed6a-41f8-4957-b8b7-35205baadb55,,,,
e8ba313a-ef48-4292-88a7-522281813ce6,,,,
9469efd9-7550-4629-8546-7adcbfb86d09,,,,
ade02561-dece-4c79-bec0-91d03d6b2330,,,,
1cd89ee5-c5ad-45f2-9d1e-acc326a11738,,,,
a29fe94e-ba90-4c74-8bca-f8106fc10b46,,,,
ec08f862-403d-4863-b2ab-1e5c5fd60249,,,,
2d33bc66-2097-4d4d-8ccb-68dc142353d8,,,,
16f0d115-9741-41f8-908b-3c28d8799339,,,,
870c603d-b04d-4229-8bdc-8ae98fc58783,,,,
029c9554-8010-4e30-b5f8-f33ff27cc38b,,,,
88658b79-2dc2-4340-8934-4e318fef375b,,,,
29b5f57a-8ac3-49fb-9b98-696a0f8b2c86,,,,
f7553fb2-ce8d-42f9-ab64-4ca93620ca15,,,,
671535a2-4c41-4826-a833-bbf48c3d559d,,,,
abc87a02-2a6b-4b3c-972b-d3dfa0ab1f13,,,,
c7d18546-a6ab-4e3c-b94c-9876f2274ba8,,,,
9184ad3e-3bb6-4b0a-a861-c4ee765ddf97,,,,
1372ec7f-0ef2-4e25-8102-e682600b6857,,,,
c28cc601-96e4-42d0-bd88-e487439c2d7b,,,,
9acf18a9-906f-4ee8-86c3-63c81609cc26,,,,
182014d2-cd23-4419-9eba-a854f6dcf55b,,,,
0ac77afb-2f15-41e8-be07-bc6197a544ca,,,,
72614a3b-8de7-4053-aab2-cf003cd34fc6,,,,
14b37e88-933f-417b-ba11-dd0bcdf12f71,,,,
63a03032-66da-4b3e-84ac-5ce01ed6c929,,,,
d5d82efd-020d-453c-85a8-c09f0ea1dc21,,,,
7607ef8f-8cb4-4fa0-b83b-8dad024a371e,,,,
1b1d8986-737d-48bf-8676-1053c2b2298a,,,,
7a1528e3-3757-467b-ac3f-035efc9e9bcc,,,,
f79b9a38-c779-4b27-8bf4-4f1bd307c9d9,,,,
304eda37-1026-4756-b382-547c856ab35a,,,,
ad9f4f6d-5aa7-48b6-ad2e-5f71a4b1f68c,,,,
f3b1f228-2498-4053-b899-c42ad2a445d5,,,,
62630c4f-6437-4a5d-a00c-b2b2a3920537,,,,
062569dd-7fbd-41bd-82a2-f220febc3197,,,,
e2bf899f-6ed5-47f4-890f-89d51f2759ce,,,,
5c6d4479-1419-4bd1-b20b-36f206234d51,,,,
37ceeef6-0eb9-42dc-b737-8daf23d77a28,,,,
9e666955-bb57-4e09-b398-a6f29c721ba7,,,,
73e67c0a-f9e4-4fb1-a286-08ff0bd42adb,,,,
